# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: B
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            302.7        -0.003        -0.002             -0.002        -0.002
            329.2        -0.002        -0.001             -0.001        -0.001
            343.6        -0.002        -0.001             -0.001        -0.001
            352.9        -0.003        -0.002             -0.002        -0.002
            360.5         0.005         0.004              0.003         0.004
            362.1         0.015         0.013              0.009         0.011
            363.1         0.025         0.020              0.015         0.018
            364.3         0.035         0.029              0.022         0.025
            365.4         0.044         0.036              0.027         0.032
            366.6         0.066         0.055              0.041         0.048
            366.6         0.054         0.044              0.033         0.039
            367.5         0.075         0.063              0.046         0.054
            368.7         0.086         0.072              0.053         0.063
            368.9         0.096         0.080              0.059         0.070
            369.1         0.105         0.088              0.065         0.076
            369.8         0.116         0.097              0.072         0.085
            370.0         0.126         0.106              0.078         0.092
            370.2         0.135         0.114              0.084         0.099
            371.6         0.145         0.123              0.091         0.107
            371.8         0.155         0.132              0.097         0.114
            372.7         0.166         0.142              0.104         0.123
            373.4         0.185         0.157              0.116         0.137
            373.4         0.176         0.150              0.111         0.130
            376.1         0.246         0.212              0.156         0.184
            376.5         0.255         0.220              0.162         0.191
            377.0         0.264         0.229              0.168         0.198
            377.2         0.274         0.237              0.174         0.206
            377.6         0.295         0.255              0.187         0.221
            377.6         0.284         0.246              0.180         0.213
            378.9         0.315         0.274              0.201         0.238
            379.2         0.306         0.266              0.196         0.231
            379.4         0.325         0.283              0.208         0.245
            380.3         0.335         0.292              0.215         0.254
            380.8         0.345         0.301              0.222         0.261
            381.0         0.355         0.310              0.229         0.269
            381.4         0.365         0.319              0.235         0.277
            381.9         0.375         0.328              0.242         0.285
            382.8         0.394         0.346              0.256         0.301
            382.8         0.385         0.338              0.250         0.294
            383.2         0.405         0.356              0.264         0.310
            383.7         0.414         0.364              0.270         0.317
            384.8         0.424         0.374              0.278         0.326
            385.2         0.445         0.393              0.292         0.342
            385.3         0.435         0.385              0.286         0.335
            386.2         0.455         0.402              0.300         0.351
            386.6         0.466         0.413              0.308         0.360
            387.1         0.475         0.420              0.314         0.367
            388.0         0.486         0.431              0.323         0.377
            389.4         0.496         0.440              0.331         0.386
            389.6         0.505         0.448              0.338         0.393
            390.1         0.515         0.457              0.345         0.401
            390.8         0.527         0.468              0.354         0.411
            391.7         0.535         0.476              0.361         0.418
            392.1         0.545         0.485              0.368         0.427
            392.8         0.554         0.494              0.375         0.435
            393.8         0.565         0.503              0.384         0.444
            394.9         0.576         0.514              0.394         0.454
            395.6         0.585         0.521              0.401         0.461
            396.8         0.594         0.530              0.409         0.470
            397.5         0.605         0.540              0.418         0.479
            401.5         0.635         0.567              0.446         0.506
            403.7         0.645         0.576              0.455         0.516
            404.1         0.655         0.585              0.463         0.524
            406.3         0.666         0.595              0.473         0.534
            408.7         0.676         0.604              0.484         0.544
            409.6         0.685         0.612              0.492         0.552
            412.8         0.696         0.623              0.504         0.563
            417.1         0.705         0.631              0.517         0.574
            422.3         0.713         0.637              0.530         0.584
            429.4         0.712         0.636              0.540         0.588
            435.3         0.705         0.628              0.543         0.586
            441.7         0.695         0.618              0.545         0.581
            445.6         0.685         0.609              0.543         0.576
            446.9         0.675         0.600              0.537         0.568
            453.4         0.655         0.582              0.524         0.553
