# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: I
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            602.0        -0.003        -0.002             -0.003        -0.003
            605.7        -0.005        -0.004             -0.005        -0.005
            610.1        -0.002        -0.002             -0.002        -0.002
            611.0        -0.001        -0.000             -0.001        -0.001
            614.2        -0.002        -0.002             -0.002        -0.002
            615.7        -0.003        -0.003             -0.003        -0.003
            621.1        -0.003        -0.002             -0.003        -0.002
            624.8        -0.002        -0.001             -0.002        -0.002
            629.2        -0.003        -0.003             -0.003        -0.003
            633.6        -0.003        -0.002             -0.003        -0.002
            638.3        -0.002        -0.001             -0.002        -0.002
            642.0        -0.002        -0.002             -0.002        -0.002
            644.9        -0.003        -0.002             -0.002        -0.002
            647.6        -0.003        -0.003             -0.003        -0.003
            652.7        -0.001        -0.001             -0.001        -0.001
            654.2        -0.001        -0.001             -0.001        -0.001
            656.2        -0.002        -0.002             -0.002        -0.002
            659.4        -0.002        -0.002             -0.002        -0.002
            661.8        -0.002        -0.001             -0.001        -0.001
            667.0        -0.002        -0.001             -0.001        -0.001
            669.2        -0.002        -0.001             -0.001        -0.001
            672.8        -0.001        -0.001             -0.001        -0.001
            674.8        -0.001        -0.001             -0.001        -0.001
            679.5        -0.003        -0.002             -0.003        -0.003
            683.6        -0.001        -0.001             -0.001        -0.001
            688.8        -0.001        -0.001             -0.001        -0.001
            692.9        -0.001        -0.001             -0.001        -0.001
            698.1         0.002         0.001              0.002         0.001
            699.0         0.006         0.004              0.005         0.005
            702.4         0.012         0.009              0.011         0.010
            702.7         0.028         0.022              0.026         0.024
            703.0         0.021         0.017              0.020         0.018
            704.3         0.037         0.029              0.034         0.032
            706.8         0.056         0.044              0.052         0.048
            709.9         0.106         0.082              0.096         0.089
            713.3         0.177         0.136              0.159         0.148
            722.9         0.456         0.348              0.402         0.375
            730.1         0.628         0.475              0.543         0.509
            732.7         0.686         0.518              0.589         0.554
            737.3         0.756         0.566              0.642         0.604
            741.8         0.815         0.607              0.685         0.646
            748.4         0.866         0.639              0.715         0.677
            752.3         0.887         0.652              0.724         0.688
            756.1         0.898         0.656              0.724         0.690
            760.4         0.909         0.658              0.722         0.690
            764.3         0.914         0.658              0.717         0.688
            775.0         0.921         0.649              0.696         0.673
            781.6         0.922         0.641              0.681         0.661
            787.7         0.925         0.635              0.669         0.652
            794.3         0.925         0.625              0.653         0.639
            801.4         0.926         0.614              0.635         0.624
            806.8         0.926         0.605              0.618         0.612
            812.2         0.925         0.595              0.601         0.598
            819.6         0.924         0.582              0.578         0.580
            826.9         0.924         0.570              0.556         0.563
            830.4         0.921         0.561              0.543         0.552
            838.1         0.918         0.543              0.518         0.531
            841.8         0.914         0.533              0.505         0.519
            846.7         0.911         0.521              0.489         0.505
            855.3         0.908         0.498              0.462         0.480
            855.8         0.906         0.496              0.459         0.477
            862.8         0.899         0.473              0.437         0.455
            868.2         0.895         0.457              0.420         0.438
            871.2         0.890         0.446              0.409         0.427
            875.2         0.887         0.433              0.397         0.415
            880.4         0.880         0.414              0.379         0.397
            885.8         0.874         0.396              0.362         0.379
            891.1         0.867         0.379              0.345         0.362
            896.3         0.861         0.362              0.329         0.345
            901.0         0.855         0.348              0.314         0.331
            905.5         0.847         0.334              0.300         0.317
            910.0         0.842         0.324              0.287         0.305
            926.4         0.815         0.279              0.238         0.258
            944.2         0.784         0.236              0.187         0.211
            955.3         0.756         0.208              0.159         0.184
            970.7         0.713         0.173              0.127         0.150
            987.2         0.657         0.138              0.094         0.116
            994.4         0.630         0.123              0.081         0.102
            999.6         0.606         0.112              0.072         0.092
           1013.4         0.545         0.086              0.053         0.070
           1030.1         0.456         0.057              0.034         0.046
           1073.4         0.216         0.017              0.009         0.013
           1088.8         0.151         0.011              0.006         0.008
           1093.4         0.129         0.009              0.005         0.007
           1099.0         0.110         0.008              0.004         0.006
           1104.3         0.095         0.006              0.003         0.005
           1114.9         0.065         0.004              0.002         0.003
           1123.2         0.048         0.003              0.001         0.002
           1131.7         0.035         0.002              0.001         0.001
           1141.7         0.023         0.001              0.001         0.001
           1151.8         0.013         0.001              0.000         0.000
           1160.9         0.009         0.000              0.000         0.000
           1168.6         0.006         0.000              0.000         0.000
           1175.9         0.004         0.000              0.000         0.000
           1183.1         0.003         0.000              0.000         0.000
           1190.2        -0.000        -0.000             -0.000        -0.000
           1194.6         0.001         0.000              0.000         0.000
           1198.3        -0.000        -0.000             -0.000        -0.000
           1199.8        -0.000        -0.000             -0.000        -0.000
