# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: R
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            476.2        -0.002        -0.002             -0.002        -0.002
            497.8        -0.002        -0.002             -0.002        -0.002
            521.9        -0.002        -0.002             -0.002        -0.002
            534.2        -0.002        -0.002             -0.002        -0.002
            539.8        -0.002        -0.001             -0.001        -0.001
            543.0         0.001         0.001              0.001         0.001
            546.7         0.006         0.005              0.005         0.005
            548.1         0.011         0.009              0.010         0.009
            549.3         0.017         0.014              0.015         0.015
            551.7         0.037         0.031              0.034         0.033
            553.6         0.064         0.054              0.058         0.056
            556.2         0.115         0.097              0.104         0.101
            559.3         0.184         0.156              0.168         0.162
            561.3         0.255         0.215              0.232         0.224
            563.1         0.355         0.300              0.324         0.312
            563.6         0.347         0.293              0.317         0.305
            564.0         0.363         0.306              0.332         0.319
            565.6         0.435         0.367              0.398         0.383
            568.5         0.546         0.460              0.500         0.480
            572.0         0.645         0.544              0.592         0.568
            574.8         0.717         0.604              0.659         0.631
            578.6         0.766         0.643              0.706         0.675
            580.8         0.785         0.659              0.725         0.692
            584.1         0.808         0.677              0.747         0.712
            586.6         0.817         0.685              0.756         0.720
            590.3         0.819         0.685              0.760         0.722
            592.7         0.819         0.684              0.761         0.722
            595.7         0.816         0.681              0.760         0.720
            596.9         0.814         0.678              0.758         0.718
            598.4         0.811         0.675              0.756         0.716
            600.3         0.807         0.671              0.752         0.712
            601.8         0.804         0.668              0.749         0.708
            603.3         0.800         0.664              0.745         0.704
            604.8         0.796         0.660              0.741         0.700
            607.0         0.788         0.652              0.733         0.693
            610.2         0.782         0.646              0.727         0.687
            612.9         0.770         0.635              0.716         0.675
            616.6         0.761         0.625              0.707         0.666
            621.3         0.744         0.608              0.690         0.649
            632.7         0.697         0.563              0.645         0.604
            662.5         0.556         0.440              0.514         0.477
            669.0         0.524         0.413              0.485         0.449
            669.5         0.514         0.405              0.476         0.441
            686.1         0.431         0.338              0.400         0.369
            692.1         0.391         0.306              0.363         0.334
            698.8         0.364         0.284              0.338         0.311
            702.2         0.339         0.264              0.313         0.289
            712.9         0.292         0.225              0.264         0.245
            717.1         0.274         0.211              0.245         0.228
            717.4         0.265         0.204              0.237         0.220
            730.0         0.217         0.164              0.188         0.176
            752.3         0.136         0.100              0.111         0.106
            759.9         0.115         0.083              0.091         0.087
            764.1         0.103         0.074              0.080         0.077
            769.5         0.090         0.064              0.070         0.067
            776.7         0.075         0.052              0.056         0.054
            780.9         0.065         0.045              0.048         0.047
            785.8         0.058         0.040              0.042         0.041
            791.7         0.047         0.032              0.034         0.033
            797.1         0.041         0.028              0.029         0.028
            807.5         0.028         0.018              0.019         0.018
            817.8         0.020         0.013              0.013         0.013
            826.4         0.013         0.008              0.008         0.008
            836.5         0.009         0.005              0.005         0.005
            845.3         0.006         0.003              0.003         0.003
            850.2         0.004         0.002              0.002         0.002
