# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: SDSS z
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
#
# N.B. The filter trace has a small (~3%) dip near 870 nm in the filter trace
# that I'm not sure is real, since I don't see it in the spectral traces I
# find on the internet - use with caution.
#
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            299.0        -0.000        -0.000             -0.000        -0.000
            300.0        -0.000        -0.000             -0.000        -0.000
            301.0         0.000         0.000              0.000         0.000
            302.0         0.000         0.000              0.000         0.000
            303.0         0.000         0.000              0.000         0.000
            304.0        -0.000        -0.000             -0.000        -0.000
            305.0         0.000         0.000              0.000         0.000
            306.0        -0.000        -0.000             -0.000        -0.000
            307.0         0.000         0.000              0.000         0.000
            308.0        -0.000        -0.000             -0.000        -0.000
            309.0         0.000         0.000              0.000         0.000
            310.0        -0.000        -0.000             -0.000        -0.000
            311.0        -0.000        -0.000             -0.000        -0.000
            312.0         0.000         0.000              0.000         0.000
            313.0        -0.000        -0.000             -0.000        -0.000
            314.0        -0.000        -0.000             -0.000        -0.000
            315.0        -0.000        -0.000             -0.000        -0.000
            316.0         0.000         0.000              0.000         0.000
            317.0         0.000         0.000              0.000         0.000
            318.0         0.000         0.000              0.000         0.000
            319.0         0.000         0.000              0.000         0.000
            320.0        -0.000        -0.000             -0.000        -0.000
            321.0        -0.000        -0.000             -0.000        -0.000
            322.0         0.000         0.000              0.000         0.000
            323.0         0.000         0.000              0.000         0.000
            324.0         0.000         0.000              0.000         0.000
            325.0        -0.000        -0.000             -0.000        -0.000
            326.0        -0.000        -0.000             -0.000        -0.000
            327.0        -0.000        -0.000             -0.000        -0.000
            328.0         0.000         0.000              0.000         0.000
            329.0         0.000         0.000              0.000         0.000
            330.0        -0.000        -0.000             -0.000        -0.000
            331.0        -0.000        -0.000             -0.000        -0.000
            332.0        -0.000        -0.000             -0.000        -0.000
            333.0         0.000         0.000              0.000         0.000
            334.0         0.000         0.000              0.000         0.000
            335.0        -0.000        -0.000             -0.000        -0.000
            336.0        -0.000        -0.000             -0.000        -0.000
            337.0         0.000         0.000              0.000         0.000
            338.0         0.000         0.000              0.000         0.000
            339.0         0.000         0.000              0.000         0.000
            340.0         0.000         0.000              0.000         0.000
