# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: U
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            307.2         0.001         0.000              0.000         0.000
            308.4         0.003         0.002              0.002         0.002
            312.0         0.020         0.013              0.014         0.013
            312.5         0.023         0.015              0.016         0.015
            313.1         0.026         0.017              0.018         0.017
            314.8         0.043         0.028              0.030         0.029
            315.0         0.046         0.030              0.032         0.031
            316.4         0.062         0.040              0.044         0.042
            316.9         0.065         0.043              0.046         0.044
            317.6         0.078         0.052              0.056         0.054
            318.1         0.082         0.054              0.058         0.056
            319.0         0.097         0.065              0.069         0.067
            319.2         0.100         0.067              0.072         0.070
            319.4         0.104         0.070              0.074         0.072
            321.2         0.139         0.095              0.099         0.097
            321.4         0.142         0.098              0.102         0.100
            321.6         0.146         0.100              0.104         0.102
            325.2         0.219         0.155              0.154         0.155
            325.4         0.222         0.157              0.157         0.157
            325.6         0.225         0.160              0.159         0.159
            327.0         0.258         0.185              0.181         0.183
            327.2         0.261         0.187              0.183         0.185
            327.6         0.264         0.190              0.185         0.188
            328.3         0.284         0.205              0.198         0.201
            328.5         0.287         0.207              0.200         0.204
            329.7         0.315         0.228              0.219         0.224
            329.9         0.318         0.231              0.221         0.226
            330.1         0.321         0.234              0.223         0.229
            330.3         0.325         0.237              0.225         0.231
            330.8         0.338         0.247              0.234         0.241
            330.9         0.342         0.250              0.237         0.243
            331.4         0.345         0.253              0.239         0.246
            332.0         0.363         0.268              0.251         0.259
            332.2         0.367         0.271              0.253         0.262
            334.1         0.402         0.302              0.276         0.289
            334.5         0.406         0.306              0.278         0.292
            334.6         0.412         0.311              0.282         0.297
            334.8         0.416         0.314              0.284         0.299
            335.2         0.419         0.318              0.286         0.302
            335.4         0.422         0.321              0.288         0.305
            335.6         0.426         0.324              0.290         0.307
            335.9         0.435         0.332              0.296         0.314
            336.3         0.442         0.337              0.301         0.319
            336.4         0.438         0.335              0.298         0.316
            336.9         0.453         0.346              0.307         0.327
            337.3         0.456         0.349              0.309         0.329
            337.9         0.465         0.357              0.315         0.336
            338.1         0.468         0.360              0.317         0.339
            338.3         0.472         0.363              0.319         0.341
            338.4         0.475         0.366              0.321         0.344
            338.6         0.478         0.369              0.323         0.346
            339.1         0.482         0.372              0.325         0.348
            339.2         0.485         0.375              0.327         0.351
            339.4         0.488         0.378              0.329         0.353
            339.6         0.491         0.381              0.331         0.356
            339.8         0.495         0.384              0.333         0.358
            340.0         0.498         0.386              0.335         0.361
            340.4         0.501         0.390              0.336         0.363
            342.0         0.524         0.410              0.349         0.380
            342.2         0.528         0.413              0.350         0.382
            342.4         0.531         0.416              0.352         0.384
            343.1         0.534         0.420              0.353         0.386
            344.4         0.556         0.440              0.365         0.403
            344.8         0.560         0.443              0.366         0.405
            345.0         0.563         0.446              0.368         0.407
            345.6         0.569         0.451              0.371         0.411
            345.8         0.572         0.454              0.373         0.413
            346.3         0.576         0.456              0.374         0.415
            346.7         0.579         0.459              0.375         0.417
            347.3         0.588         0.466              0.379         0.423
            347.5         0.591         0.469              0.381         0.425
            347.9         0.594         0.472              0.382         0.427
            348.3         0.597         0.474              0.383         0.429
            349.6         0.611         0.486              0.390         0.438
            350.0         0.615         0.488              0.391         0.440
            350.6         0.621         0.493              0.393         0.443
            351.1         0.624         0.496              0.394         0.445
            351.2         0.627         0.499              0.395         0.447
            351.9         0.630         0.501              0.395         0.448
            352.4         0.634         0.504              0.396         0.450
            352.5         0.637         0.507              0.398         0.452
            353.0         0.640         0.510              0.398         0.454
            353.7         0.643         0.513              0.398         0.456
            354.5         0.651         0.521              0.400         0.461
            354.9         0.655         0.524              0.401         0.463
            356.4         0.667         0.536              0.404         0.470
            357.9         0.668         0.538              0.400         0.469
            358.1         0.671         0.541              0.402         0.471
            358.5         0.674         0.544              0.404         0.474
            358.7         0.678         0.547              0.406         0.477
            359.4         0.681         0.551              0.409         0.480
            361.2         0.687         0.559              0.416         0.487
            361.4         0.691         0.562              0.418         0.490
            361.9         0.694         0.565              0.421         0.493
            363.5         0.698         0.571              0.425         0.498
            364.7         0.698         0.573              0.427         0.500
            365.2         0.702         0.577              0.430         0.503
            366.8         0.704         0.584              0.434         0.509
            368.5         0.705         0.589              0.436         0.513
            370.4         0.698         0.588              0.434         0.511
            370.4         0.698         0.588              0.434         0.511
            371.6         0.696         0.589              0.434         0.512
            371.6         0.696         0.589              0.434         0.512
            371.9         0.692         0.587              0.433         0.510
            371.9         0.692         0.587              0.433         0.510
            372.5         0.689         0.586              0.432         0.509
            372.5         0.689         0.586              0.432         0.509
            373.3         0.686         0.585              0.431         0.508
            373.3         0.686         0.585              0.431         0.508
            375.0         0.673         0.577              0.424         0.501
            375.5         0.673         0.579              0.425         0.502
            376.7         0.659         0.570              0.418         0.494
            377.2         0.656         0.568              0.417         0.492
            377.8         0.654         0.567              0.416         0.491
            378.1         0.651         0.564              0.414         0.489
            378.4         0.647         0.562              0.413         0.487
            378.4         0.644         0.559              0.411         0.485
            379.0         0.641         0.557              0.409         0.483
            379.3         0.638         0.555              0.408         0.481
            379.3         0.634         0.552              0.406         0.479
            383.6         0.571         0.502              0.372         0.437
            383.9         0.568         0.500              0.370         0.435
            393.8         0.297         0.265              0.202         0.234
            394.1         0.294         0.262              0.200         0.231
            397.6         0.206         0.184              0.142         0.163
            397.9         0.203         0.181              0.140         0.160
            398.2         0.199         0.178              0.138         0.158
            401.6         0.116         0.103              0.081         0.092
            402.2         0.113         0.101              0.079         0.090
            403.0         0.095         0.085              0.067         0.076
            403.3         0.092         0.082              0.065         0.073
            404.0         0.079         0.071              0.056         0.063
            404.3         0.076         0.068              0.054         0.061
            406.5         0.047         0.042              0.034         0.038
            406.8         0.044         0.039              0.031         0.035
            407.3         0.041         0.037              0.029         0.033
            408.2         0.034         0.030              0.024         0.027
            408.7         0.030         0.027              0.022         0.024
            409.0         0.027         0.024              0.019         0.022
            409.6         0.024         0.021              0.017         0.019
            410.4         0.021         0.018              0.015         0.017
            410.7         0.017         0.015              0.012         0.014
            411.5         0.014         0.013              0.010         0.012
            412.0         0.011         0.010              0.008         0.009
            413.1         0.008         0.007              0.006         0.007
            414.3         0.005         0.005              0.004         0.004
