# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: V
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            427.5        -0.002        -0.002             -0.002        -0.002
            431.2        -0.002        -0.002             -0.002        -0.002
            436.8        -0.002        -0.002             -0.002        -0.002
            443.2        -0.003        -0.002             -0.002        -0.002
            447.2        -0.002        -0.002             -0.002        -0.002
            452.3        -0.003        -0.002             -0.002        -0.002
            456.8        -0.003        -0.002             -0.002        -0.002
            461.7        -0.003        -0.003             -0.002        -0.003
            466.3        -0.002        -0.002             -0.002        -0.002
            468.6        -0.003        -0.002             -0.002        -0.002
            471.7        -0.001        -0.001             -0.001        -0.001
            473.6         0.001         0.001              0.001         0.001
            475.3         0.003         0.002              0.002         0.002
            475.8         0.005         0.004              0.004         0.004
            476.7         0.007         0.006              0.005         0.006
            477.0         0.014         0.012              0.012         0.012
            478.5         0.025         0.021              0.020         0.021
            479.5         0.034         0.029              0.028         0.029
            480.3         0.044         0.038              0.035         0.037
            480.3         0.054         0.046              0.044         0.045
            481.8         0.076         0.065              0.061         0.063
            483.4         0.113         0.097              0.092         0.095
            484.5         0.154         0.132              0.125         0.128
            484.8         0.185         0.158              0.150         0.154
            485.1         0.205         0.176              0.167         0.172
            486.8         0.285         0.244              0.232         0.238
            488.5         0.405         0.345              0.330         0.337
            490.3         0.524         0.446              0.427         0.436
            492.8         0.644         0.547              0.526         0.536
            497.1         0.774         0.654              0.633         0.643
            499.2         0.812         0.686              0.665         0.675
            501.2         0.845         0.714              0.693         0.703
            503.0         0.863         0.729              0.710         0.720
            503.1         0.867         0.733              0.714         0.723
            504.4         0.867         0.733              0.716         0.724
            504.8         0.871         0.736              0.719         0.727
            505.1         0.879         0.743              0.727         0.735
            505.2         0.876         0.740              0.724         0.732
            505.5         0.882         0.745              0.730         0.738
            506.7         0.885         0.747              0.734         0.740
            507.1         0.889         0.751              0.738         0.745
            508.5         0.893         0.754              0.744         0.749
            508.5         0.891         0.752              0.742         0.747
            509.7         0.894         0.754              0.746         0.750
            511.4         0.893         0.753              0.748         0.751
            512.1         0.896         0.756              0.752         0.754
            514.3         0.896         0.755              0.755         0.755
            514.8         0.896         0.754              0.755         0.755
            516.1         0.892         0.751              0.754         0.753
            516.4         0.890         0.749              0.753         0.751
            518.4         0.888         0.748              0.755         0.751
            519.9         0.887         0.747              0.756         0.751
            520.7         0.884         0.744              0.754         0.749
            521.0         0.881         0.742              0.752         0.747
            521.3         0.879         0.741              0.752         0.746
            523.0         0.879         0.741              0.754         0.748
            524.7         0.872         0.735              0.751         0.743
            525.9         0.870         0.734              0.750         0.742
            526.3         0.863         0.728              0.746         0.737
            526.4         0.862         0.727              0.745         0.736
            526.7         0.859         0.725              0.743         0.734
            527.0         0.865         0.730              0.748         0.739
            527.4         0.859         0.725              0.744         0.734
            528.0         0.854         0.721              0.740         0.730
            530.8         0.840         0.709              0.732         0.721
            532.7         0.829         0.701              0.726         0.713
            534.9         0.819         0.692              0.719         0.706
            537.8         0.800         0.677              0.707         0.692
            540.1         0.783         0.663              0.695         0.679
            542.9         0.758         0.642              0.676         0.659
            545.2         0.734         0.621              0.658         0.640
            550.6         0.690         0.584              0.625         0.604
            554.9         0.638         0.539              0.580         0.559
            560.2         0.578         0.488              0.527         0.507
            563.4         0.532         0.448              0.485         0.467
            571.2         0.444         0.374              0.407         0.391
            582.7         0.294         0.247              0.271         0.259
            590.8         0.206         0.172              0.191         0.182
            596.6         0.143         0.120              0.134         0.127
            602.1         0.106         0.088              0.099         0.093
            607.2         0.075         0.062              0.069         0.066
            611.3         0.055         0.046              0.051         0.048
            615.7         0.036         0.029              0.033         0.031
            619.5         0.027         0.022              0.025         0.023
            621.9         0.021         0.017              0.020         0.019
            625.0         0.015         0.012              0.014         0.013
            628.5         0.011         0.009              0.010         0.010
            632.0         0.008         0.006              0.007         0.007
            636.0         0.004         0.003              0.004         0.004
            639.5         0.002         0.002              0.002         0.002
            645.4         0.001         0.001              0.001         0.001
            648.9        -0.001        -0.001             -0.001        -0.001
            653.8        -0.002        -0.002             -0.002        -0.002
            658.0        -0.001        -0.001             -0.001        -0.001
            663.7        -0.002        -0.001             -0.001        -0.001
            667.8        -0.001        -0.001             -0.001        -0.001
            671.0        -0.002        -0.002             -0.002        -0.002
            675.5        -0.002        -0.002             -0.002        -0.002
            680.9        -0.003        -0.002             -0.003        -0.003
            682.6        -0.002        -0.002             -0.002        -0.002
            687.5        -0.002        -0.002             -0.002        -0.002
            690.2        -0.003        -0.002             -0.003        -0.003
