# 90prime spectral response curves
# compiled by C. W. Engelbracht, March 2009
# filter: Washington M
# 3 (filter * Q.E.) response curves are listed:
#    blue (chips 1 and 4), broadband (chips 2 and 3),
#    and average [(blue + broadband) / 2)]
# wavelength (nm)        filter    filt.*blue    filt.*broadband       average
            400.0         0.000         0.000              0.000         0.000
            400.4         0.000         0.000              0.000         0.000
            400.8         0.000         0.000              0.000         0.000
            401.2         0.000         0.000              0.000         0.000
            401.6         0.000         0.000              0.000         0.000
            402.0         0.000         0.000              0.000         0.000
            402.4         0.000         0.000              0.000         0.000
            402.8         0.000         0.000              0.000         0.000
            403.2         0.000         0.000              0.000         0.000
            403.6         0.000         0.000              0.000         0.000
            404.0         0.000         0.000              0.000         0.000
            404.4         0.000         0.000              0.000         0.000
            404.8         0.000         0.000              0.000         0.000
            405.2         0.000         0.000              0.000         0.000
            405.6         0.000         0.000              0.000         0.000
            406.0         0.000         0.000              0.000         0.000
            406.4         0.000         0.000              0.000         0.000
            406.8         0.000         0.000              0.000         0.000
            407.2         0.000         0.000              0.000         0.000
            407.6         0.000         0.000              0.000         0.000
            408.0         0.000         0.000              0.000         0.000
            408.4         0.000         0.000              0.000         0.000
            408.8         0.000         0.000              0.000         0.000
            409.2         0.000         0.000              0.000         0.000
            409.6         0.000         0.000              0.000         0.000
            410.0         0.000         0.000              0.000         0.000
            410.4         0.000         0.000              0.000         0.000
            410.8         0.000         0.000              0.000         0.000
            411.2         0.000         0.000              0.000         0.000
            411.6         0.000         0.000              0.000         0.000
            412.0         0.000         0.000              0.000         0.000
            412.4         0.000         0.000              0.000         0.000
            412.8         0.000         0.000              0.000         0.000
            413.2         0.000         0.000              0.000         0.000
            413.6         0.000         0.000              0.000         0.000
            414.0         0.000         0.000              0.000         0.000
            414.4         0.000         0.000              0.000         0.000
            414.8         0.000         0.000              0.000         0.000
            415.2         0.000         0.000              0.000         0.000
            415.6         0.000         0.000              0.000         0.000
            416.0         0.000         0.000              0.000         0.000
            416.4         0.000         0.000              0.000         0.000
            416.8         0.000         0.000              0.000         0.000
            417.2         0.000         0.000              0.000         0.000
            417.6         0.000         0.000              0.000         0.000
            418.0         0.000         0.000              0.000         0.000
            418.4         0.000         0.000              0.000         0.000
            418.8         0.000         0.000              0.000         0.000
            419.2         0.000         0.000              0.000         0.000
            419.6         0.000         0.000              0.000         0.000
            420.0         0.000         0.000              0.000         0.000
            420.4         0.000         0.000              0.000         0.000
            420.8         0.000         0.000              0.000         0.000
            421.2         0.000         0.000              0.000         0.000
            421.6         0.000         0.000              0.000         0.000
            422.0         0.000         0.000              0.000         0.000
            422.4         0.000         0.000              0.000         0.000
            422.8         0.000         0.000              0.000         0.000
            423.2         0.000         0.000              0.000         0.000
            423.6         0.000         0.000              0.000         0.000
            424.0         0.000         0.000              0.000         0.000
            424.4         0.000         0.000              0.000         0.000
            424.8         0.000         0.000              0.000         0.000
            425.2         0.000         0.000              0.000         0.000
            425.6         0.000         0.000              0.000         0.000
            426.0         0.000         0.000              0.000         0.000
            426.4         0.000         0.000              0.000         0.000
            426.8         0.000         0.000              0.000         0.000
            427.2         0.000         0.000              0.000         0.000
            427.6         0.000         0.000              0.000         0.000
            428.0         0.000         0.000              0.000         0.000
            428.4         0.000         0.000              0.000         0.000
            428.8         0.000         0.000              0.000         0.000
            429.2         0.000         0.000              0.000         0.000
            429.6         0.000         0.000              0.000         0.000
            430.0         0.000         0.000              0.000         0.000
            430.4         0.000         0.000              0.000         0.000
            430.8         0.000         0.000              0.000         0.000
            431.2         0.000         0.000              0.000         0.000
            431.6         0.000         0.000              0.000         0.000
            432.0         0.000         0.000              0.000         0.000
            432.4         0.000         0.000              0.000         0.000
            432.8         0.001         0.001              0.000         0.000
            433.2         0.001         0.001              0.001         0.001
            433.6         0.001         0.001              0.001         0.001
            434.0         0.001         0.001              0.001         0.001
            434.4         0.002         0.001              0.001         0.001
            434.8         0.002         0.002              0.002         0.002
            435.2         0.003         0.002              0.002         0.002
            435.6         0.003         0.003              0.002         0.003
            436.0         0.004         0.004              0.003         0.003
            436.4         0.005         0.005              0.004         0.004
            436.8         0.007         0.006              0.005         0.005
            437.2         0.008         0.007              0.006         0.007
            437.6         0.010         0.009              0.008         0.008
            438.0         0.012         0.011              0.010         0.010
            438.4         0.015         0.013              0.012         0.013
            438.8         0.018         0.016              0.014         0.015
            439.2         0.022         0.020              0.017         0.018
            439.6         0.026         0.023              0.020         0.022
            440.0         0.031         0.027              0.024         0.026
            440.4         0.036         0.032              0.028         0.030
            440.8         0.042         0.038              0.033         0.035
            441.2         0.049         0.044              0.038         0.041
            441.6         0.057         0.050              0.044         0.047
            442.0         0.065         0.058              0.051         0.054
            442.4         0.074         0.066              0.058         0.062
            442.8         0.084         0.074              0.066         0.070
            443.2         0.094         0.084              0.074         0.079
            443.6         0.106         0.094              0.083         0.088
            444.0         0.117         0.104              0.093         0.098
            444.4         0.130         0.116              0.103         0.109
            444.8         0.143         0.127              0.113         0.120
            445.2         0.157         0.140              0.124         0.132
            445.6         0.172         0.153              0.136         0.145
            446.0         0.187         0.166              0.148         0.157
            446.4         0.203         0.180              0.161         0.171
            446.8         0.218         0.194              0.174         0.184
            447.2         0.235         0.209              0.187         0.198
            447.6         0.252         0.224              0.201         0.212
            448.0         0.268         0.238              0.214         0.226
            448.4         0.285         0.254              0.228         0.241
            448.8         0.303         0.269              0.241         0.255
            449.2         0.320         0.284              0.255         0.269
            449.6         0.337         0.299              0.269         0.284
            450.0         0.354         0.314              0.282         0.298
            450.4         0.371         0.329              0.296         0.312
            450.8         0.388         0.344              0.309         0.327
            451.2         0.404         0.359              0.323         0.341
            451.6         0.421         0.374              0.336         0.355
            452.0         0.437         0.388              0.349         0.369
            452.4         0.454         0.403              0.362         0.383
            452.8         0.469         0.416              0.375         0.396
            453.2         0.484         0.429              0.387         0.408
            453.6         0.498         0.442              0.398         0.420
            454.0         0.513         0.455              0.410         0.433
            454.4         0.527         0.467              0.421         0.444
            454.8         0.540         0.479              0.432         0.456
            455.2         0.554         0.491              0.443         0.467
            455.6         0.567         0.503              0.454         0.478
            456.0         0.580         0.514              0.465         0.489
            456.4         0.593         0.525              0.475         0.500
            456.8         0.604         0.535              0.484         0.509
            457.2         0.615         0.544              0.493         0.519
            457.6         0.626         0.553              0.501         0.527
